Compound	m/z	Retention time (min)	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9	sample10
4.09_111.0923m/z	111.0923	4.09	2779.5	2724.0	2621.5	2648.2	2745.3	2632.0	2643.5	2659.3	2613.0	2563.0
2.10_628.6018m/z	628.6018	2.10	2353.8	2950.5	2322.1	2788.7	2756.9	4841.4	6021.4	5921.7	6225.4	8805.1
2.03_625.6243m/z	625.6243	2.03	3055.4	2872.5	2782.0	2653.8	2784.7	5355.6	4862.9	5336.4	5060.2	4414.9
0.80_693.5582m/z	693.5582	0.80	2829.3	2777.1	2652.0	2769.7	2801.1	5326.5	5342.0	5298.8	5322.6	5333.7
1.65_384.3221n	367.3188	1.65	1608.2	1604.6	2820.1	2630.5	2844.9	4299.7	4301.1	4381.4	4126.2	3604.2
2.05_546.5180m/z	546.5180	2.05	3169.6	3089.8	2892.7	2919.5	2856.4	5762.9	5585.5	6007.7	5858.5	6277.1
0.96_905.1222m/z	905.1222	0.96	2917.2	3001.0	2771.7	2655.5	2857.4	6138.6	6147.6	6411.8	6254.1	6731.0
0.87_815.7039m/z	815.7039	0.87	3188.5	3241.1	2662.3	2708.2	2876.3	4571.5	4794.5	4664.3	4662.6	5102.5
2.03_596.5762m/z	596.5762	2.03	2928.1	2915.9	2738.2	2905.8	2928.8	4581.9	4278.6	4570.2	4518.2	4850.3
1.37_648.5668n	631.5635	1.37	2858.8	2760.7	2823.5	2947.4	3009.0	5935.2	5754.4	5971.0	6144.2	5876.0
0.55_405.2448m/z	405.2448	0.55	15609.8	1796.9	21693.2	4628.6	3048.8	1733.2	15785.8	1912.1	3732.4	17418.5
3.99_818.5673m/z	818.5673	3.99	2930.3	2989.5	2998.6	3221.4	3084.2	6720.1	6941.4	7018.4	7118.9	7065.4
4.81_740.5571m/z	740.5571	4.81	2696.6	3116.2	3041.2	3344.3	3132.0	6872.2	7257.1	7496.7	7512.1	7636.6
4.26_111.0923m/z	111.0923	4.26	3278.6	3313.9	3067.4	3138.8	3263.2	3078.0	3103.4	3119.2	3110.1	2999.0
0.57_475.4143m/z	475.4143	0.57	2927.3	2866.1	3050.8	3135.1	3270.7	2998.8	3025.2	3042.5	3069.0	1826.4
0.92_879.3485m/z	879.3485	0.92	3336.1	3391.4	3014.6	2826.2	3290.0	7736.4	7698.7	7787.9	7454.0	8512.3
0.88_521.4566m/z	521.4566	0.88	3240.0	3241.7	3046.6	2981.6	3298.4	6429.4	6396.1	6358.0	6466.0	6609.8
4.80_754.5438m/z	754.5438	4.80	2683.1	3202.4	3143.1	3383.0	3332.3	6465.3	6952.9	7027.1	6957.3	7170.5
4.76_804.6458m/z	804.6458	4.76	2911.1	3099.8	2844.8	3078.2	3338.4	5099.9	5286.1	5533.1	5717.3	5744.1
0.86_766.6904m/z	766.6904	0.86	3545.7	3415.6	3305.8	3431.6	3374.1	6556.2	6692.8	6474.1	6886.8	6901.6
0.93_950.9092m/z	950.9092	0.93	3619.3	3627.4	3429.2	3218.4	3382.8	3398.8	3429.4	3591.2	3499.0	3419.2
3.94_686.5122m/z	686.5122	3.94	3330.8	3350.6	3297.0	3579.4	3395.0	7144.9	7561.2	7725.7	7606.2	7690.2
0.93_876.9515m/z	876.9515	0.93	3446.3	3595.8	3266.3	3062.4	3397.7	6281.9	6521.9	6479.6	6319.0	6931.6
2.70_143.0559m/z	143.0559	2.70	3425.4	3391.7	3331.1	3249.2	3399.6	3231.8	3370.3	3441.1	3332.9	3260.5
2.01_492.4770m/z	492.4770	2.01	3463.4	3521.5	3149.5	3308.7	3425.8	6460.5	6311.9	6742.9	6835.1	7232.9
4.80_730.5565m/z	730.5565	4.80	3030.9	3380.9	3372.0	3552.9	3495.6	6877.5	7423.2	7654.3	7655.8	7838.1
3.80_564.3607m/z	564.3607	3.80	3515.5	3534.9	3245.5	3301.2	3522.7	3380.5	3431.8	3398.3	3470.4	3332.2
